_id,year,inam,type,region,exch,branch,foot,title,vols,volcount,ebooks,totexp,explm,exponetime,expongoing,expcollsup,totsal,salprf,salnprf,salstud,opexp,fringedol,fringepct,expbibue,totstfx,prfstf,nprfstf,studast,totstf,grppres,sample1,presptcp,sample2,reftrans,sample3,initcirc,item,regsearches,fedsearches,illtot,ilbtot,gatecount,phdawd,phdfld,fac,totstu,totpt,gradstu,gradpt
Library number (orig instno),Year,Library name,Type,Region,Canadian exchange rate,,,Titles held June 30 - Now includes all formats,Volumes held June 30,Basis of volume count is Physical or Bibliographic (Y/N),Electronic books,Total Library Expenditures,Total Library Materials Expenditures,One-time resource purchases,"Ongoing resource purchases (e.g. subscriptions, annual license fees)",Collection support,Total Salaries and Wages (Excluding fringe benefits),Professional staff,Support staff,Student assistants,Other operating expenditures,Fringe Benefits,Official designated percent,Consortia/Networks/Bibliographic Utilities Expenditures from External Sources,Total Staff FTE,"Professional staff, FTE","Support staff, FTE","Student assistants, FTE",Total staff,Number of library presentations to groups,Is the library presentations figure based on sampling?,Number of total participants in group presentations reported in line 14,Is the total participants figure based on sampling?,Number of reference transactions,Is the reference transactions figure based on sampling?,Number of initial circulations,Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases),Total number of filled requests provided to other libraries,Total number of filled requests received from other libraries or providers,Annual gate count,Number of Doctor's Degrees awarded in FY2014-15,Number of fields in which Doctor's Degrees can be awarded,Number of full-time instructional faculty in FY2014-15,"Full-time students, undergraduate and graduate","Part-time students, undergraduate and graduate",Full-time graduate students,Part-time graduate students
2350,2018,DELAWARE,S,5,1,0,1,2891602,3389827,1,670435,22742892,12358392,2782873,9027485,548034,8358844,5852921,2240776,265147,2025656,4012322,41.6,,147,73,57,17,130,680,0,14934,0,33730,0,87375,1292283,3290689,525093,29071,14011,916026,310,62,1247,21384,2390,3189,835
9200,2018,WASHINGTON STATE,S,9,1,1,1,2763844,3156906,0,751327,13902268,6989579,629642,6166987,192950,6152317,2873445,2660249,618623,760372,2564935,,,133,49,60,24,109,1656,0,58282,0,16833,1,55478,2188856,1353655,18612,35208,62472,1328107,315,65,1368,25851,4763,3685,1652
7600,2018,SOUTHERN ILLINOIS,S,3,1,0,1,2750140,3591021,0,446749,10562253,5880409,343092,5163051,374266,4158301,2283311,1431542,443448,523543,2046147,58,33402,101,33,44,24,77,585,0,5809,0,8120,1,71740,654415,570154,0,29119,20562,653503,348,30,833,11877,2677,2422,1145
3490,2018,"ILLINOIS, CHICAGO",S,3,1,0,1,2749951,3110486,1,854165,18605829,8745301,1490088,7251486,3727,7577887,3918493,3136901,522493,2282641,1790567,35.21,,163,56,82,25,138,882,0,11144,0,26354,0,117450,4227172,4912268,45280,40626,34864,2448033,349,56,2053,25956,4642,7966,3125
9400,2018,WAYNE STATE,S,3,1,0,1,2743232,3069513,0,1175780,19961825,9992987,112346,9585979,294662,8236376,4957413,2409515,869448,1732462,2505896,33.2,,239,71,86,82,157,326,0,8510,0,22208,0,18726,3492391,4911547,14485,19042,25357,1228951,826,69,1034,18298,8766,5909,3858
4650,2018,MANITOBA,C,10,1.27,0,1,2710892,3696336,0,1776370,22894264.57,11479304.72,2484559.84,8883171.65,111573.23,8936693.7,4802210.24,4134483.46,0,2478266.14,1712757.48,22.15,,162,57,105,,162,801,1,12933,1,84246,1,95105,2464739,1381887,8653,6103,4617,1542484,159,54,1106,23993,4793,3056,665
7800,2018,SUNY-ALBANY,S,2,1,0,1,2678230,2791371,0,485479,13824204,6831795,899389,5553009,379397,6365759,4721076,1272747,371936,626650,3685002,61.48,23771,117,68,31,18,99,537,0,8862,0,45556,0,749091,974520,2353326,58207656,14112,30895,1177450,177,37,676,14843,2903,2107,2135
9000,2018,VIRGINIA TECH,S,5,1,0,1,2619800,3029097,0,1492008,24015933,10229285,1091225,7964160,1173900,9919048,6351796,3019624,547628,3867600,358946,35.25,1292225,174,107,53,14,160,929,0,24810,0,11368,0,112366,3360152,6033680,,11761,26889,1533235,594,54,1806,31564,2876,4961,2286
4200,2018,KENT STATE,S,3,1,0,1,2569379,2991704,0,945785,11383438,5185200,506360,4221387,457453,5229374,4289207,366813,573354,968864,1827501,37.6,590252,99,63,8,28,71,445,0,8405,0,37682,0,102594,1466278,5788109,804806,4612,8808,1364365,275,23,1010,24189,6725,3542,2466
7370,2018,SASKATCHEWAN,C,10,1.27,0,1,2442695,2932727,0,788916,21339363.78,11690324.41,1669733.07,9625202.36,395388.98,8623869.29,5359757.48,2865680.31,398431.5,1025170.08,1337724.41,,,154,63,77,14,140,1128,0,13499,0,22696,0,63067,2060243,,,5636,5155,1815017,471,51,981,19721,2126,2913,382
