node,url,rank,label,include
uaslp_library,http://bibliotecas.uaslp.mx/,0,home,TRUE
ubc_library,http://www.library.ubc.ca/,0,home,TRUE
uc_library,https://www.libraries.uc.edu/,0,home,TRUE
ucalgary_library,https://library.ucalgary.ca/,0,home,TRUE
uccs_library,https://www.uccs.edu/library/,0,home,TRUE
ucdavis_library,https://www.library.ucdavis.edu/,0,home,TRUE
ucf_library,https://library.ucf.edu/,0,home,TRUE
uchicago_library,https://www.lib.uchicago.edu/,0,home,TRUE
uci_library,https://lib.uci.edu/,0,home,TRUE
ucla_library,http://www.library.ucla.edu/,0,home,TRUE
ucmerced_library,http://library.ucmerced.edu/,0,home,TRUE
uconn_library,https://lib.uconn.edu/,0,home,TRUE
ucr_library,https://library.ucr.edu/,0,home,TRUE
ucsc_library,https://library.ucsc.edu/,0,home,TRUE
ucsd_library,https://library.ucsd.edu/,0,home,TRUE
udayton_library,https://udayton.edu/libraries/,0,home,TRUE
udel_library,https://library.udel.edu/,0,home,TRUE
udg_library,https://wdg.biblio.udg.mx/,0,home,TRUE
ufl_library,http://library.ufl.edu/,0,home,TRUE
uga_library,https://www.libs.uga.edu/,0,home,TRUE
uh_library,https://libraries.uh.edu/,0,home,TRUE
uic_library,https://library.uic.edu/,0,home,TRUE
uidaho_library,https://www.lib.uidaho.edu/,0,home,TRUE
uiowa_library,https://www.lib.uiowa.edu/,0,home,TRUE
uky_library,http://libraries.uky.edu/,0,home,TRUE
ulaval_library,http://www.bibl.ulaval.ca/,0,home,TRUE
umaine_library,https://library.umaine.edu/,0,home,TRUE
umanitoba_library,http://www.umanitoba.ca/libraries/,0,home,TRUE
umass_library,https://www.library.umass.edu/,0,home,TRUE
umassd_library,https://www.lib.umassd.edu/,0,home,TRUE
umb_library,https://www.umb.edu/library,0,home,TRUE
umbc_library,https://library.umbc.edu/,0,home,TRUE
umd_library,https://www.lib.umd.edu/,0,home,TRUE
umes_library,https://www.umes.edu/FDL/,0,home,TRUE
umich_library,https://www.lib.umich.edu/,0,home,TRUE
umkc_library,https://library.umkc.edu/,0,home,TRUE
uml_library,https://www.uml.edu/library/,0,home,TRUE
umn_library,https://www.lib.umn.edu/,0,home,TRUE
umsl_library,https://www.umsl.edu/~libweb/,0,home,TRUE
unam_library,http://www.bibliotecas.unam.mx/,0,home,TRUE
unc_library,https://library.unc.edu/,0,home,TRUE
uncc_library,https://library.uncc.edu/,0,home,TRUE
uncg_library,https://library.uncg.edu/,0,home,TRUE
uncw_library,https://library.uncw.edu/,0,home,TRUE
und_library,https://library.und.edu/,0,home,TRUE
une_library,https://library.une.edu/,0,home,TRUE
unh_library,https://www.library.unh.edu/,0,home,TRUE
unl_library,https://libraries.unl.edu/,0,home,TRUE
unlv_library,https://www.library.unlv.edu/,0,home,TRUE
unm_library,https://library.unm.edu/,0,home,TRUE
uno_library,http://libguides.uno.edu/home/,0,home,TRUE
